Site_ID,Region,Cost,Pop,Solar_GHI,Demand
Huluku,Oromia,121600,760,5.90,450
Moko,Oromia,224000,1200,5.85,840
Chefe_Kora,Oromia,85000,500,5.95,380
Adama_Rural,Oromia,168000,1050,6.10,720
Metehara,Oromia,195000,1400,6.15,950
Chancho,Oromia,48000,320,5.70,180
Aregawi,Oromia,52000,280,5.65,160
Mieso,Oromia,312500,2500,6.20,1200
Gelemso,Oromia,175000,1100,5.80,650
Asebe_Teferi,Oromia,210000,1350,5.75,780
Melka_Soda,Oromia,145000,850,5.95,600
Negele_Borena,Oromia,198000,1500,6.05,850
Yabello,Oromia,225000,1650,6.00,920
Mega,Oromia,165000,980,6.10,680
Moyale_North,Oromia,280000,2200,6.25,1100
Omorate,SNNP,562500,3850,6.10,1600
Turmi,SNNP,320000,2100,6.05,980
Maji,SNNP,620000,3200,5.45,1250
Guraferda,SNNP,288000,1800,5.35,720
Tum,SNNP,726000,4850,5.50,1450
Jinka,SNNP,385000,2800,5.85,1150
Konso,SNNP,245000,1700,5.90,880
Arba_Minch_Rural,SNNP,178000,1150,5.80,650
Chencha,SNNP,135000,780,5.55,420
Basketo,SNNP,198000,1250,5.60,580
Shinile,Somali_Afar,275000,1900,6.50,1050
Dire_Dawa_Rural,Somali_Afar,195000,1300,6.35,780
Harar_Rural,Somali_Afar,168000,1050,6.30,680
Jigjiga_Rural,Somali_Afar,345000,2400,6.45,1280
Aysaita,Somali_Afar,420000,2850,6.70,1550
Gewane,Somali_Afar,285000,1650,6.55,1020
Teru,Somali_Afar,380000,2100,6.65,1180
Gode,Somali_Afar,485000,3500,6.40,1650
Kelafo,Somali_Afar,325000,2200,6.35,1100
Dollo_Ado,Somali_Afar,750000,5000,6.30,2000
Warder,Somali_Afar,395000,2650,6.50,1350
Degahbur,Somali_Afar,365000,2450,6.45,1280
Fik,Somali_Afar,298000,1800,6.40,980
Kebri_Dehar,Somali_Afar,445000,3100,6.35,1420
Pugnido,Western,525000,3500,5.20,1180
Gog,Western,285000,1450,5.15,580
Gambella_Town_Rural,Western,198000,1100,5.25,520
Itang,Western,345000,2200,5.10,780
Jor,Western,265000,1350,5.05,520
Akobo,Western,385000,1900,5.00,680
Sherkole,Western,420000,2650,5.40,980
Kurmuk,Western,295000,1550,5.35,620
Assosa_Rural,Western,225000,1400,5.45,680
Gomi,Western,88000,450,5.30,280
Telifa,Western,95000,520,5.25,320
